File	Mean	SE	Max	Min
GAL3ST2.Skin_Not_Sun_Exposed_Suprapubic	-0.275947283562488	0.000381854251545907	0.227442	-0.686364
GAL3ST2.Skin_Sun_Exposed_Lower_leg	-0.21819224575665	0.00030045379663005	0.152488	-0.563762
GLI1.Whole_Blood	-0.107063984178899	0.000209284201737873	0.287069	-0.597776
GMEB2.Cells_EBV-transformed_lymphocytes	0.111126289470137	0.000273558426608527	0.731525	-0.435053
GMEB2.Skin_Sun_Exposed_Lower_leg	-0.00119865740669335	0.000284540063023899	0.537341	-0.687136
GMEB2.Whole_Blood	0.0610357571521367	0.000238652442850948	0.49053	-0.331312
GNPDA1.Skin_Sun_Exposed_Lower_leg	-0.318711338402592	0.00036883092691796	0.193535	-1.17085
GPR18.Whole_Blood	0.0436147843442719	0.000188278238343135	0.506002	-0.143939
GSAP.Cells_Cultured_fibroblasts	-0.839738489147868	0.00100080402385366	0.524024	-3.07222
GSDMA.Cells_Cultured_fibroblasts	0.30459251622431	0.00070971822794295	1.24941	-0.690622
GSDMA.Skin_Not_Sun_Exposed_Suprapubic	-0.0455795501884301	0.000272005891107245	0.640949	-0.396795
GSDMA.Skin_Sun_Exposed_Lower_leg	-0.0478157839779666	0.000429763534848531	0.900169	-0.612126
GSDMB.Cells_Cultured_fibroblasts	0.119622217403092	0.000327278269935151	0.442473	-0.926053
GSDMB.Cells_EBV-transformed_lymphocytes	0.634519944424248	0.000996729781268035	1.89005	-1.82881
GSDMB.Skin_Sun_Exposed_Lower_leg	0.15124274971569	0.000362393693405678	0.569482	-0.916497
GSDMB.Whole_Blood	1.24828951416599	0.0011459373838153	3.04355	-0.736501
HDAC3.Cells_Cultured_fibroblasts	0.0428159370195466	0.000271445812192084	0.585935	-0.359133
HEXIM1.15596_7	0.021701598305315	9.9697794473985e-05	0.237287	-0.118666
HSPA4.Skin_Not_Sun_Exposed_Suprapubic	0.0561694605446737	0.000182951158364294	0.535652	-0.431077
HSPD1.Cells_EBV-transformed_lymphocytes	-0.110870818262353	0.000213351355116628	0.2031	-0.491294
HYOU1.Skin_Not_Sun_Exposed_Suprapubic	-0.0488902415961589	0.000119720329992204	0.191211	-0.31886
ICAM1.4342_10	-1.55185988892111	0.00235574342031075	2.17626	-5.96167
ICAM5.8245_27	0.146508796441113	0.00102814269056641	1.79921	-2.32444
ICAM5.Skin_Not_Sun_Exposed_Suprapubic	0.131151646667063	0.000231150599482254	0.447857	-0.185593
IKZF1.Whole_Blood	-0.173385421892212	0.000304276884549401	0.18572	-0.660961
IKZF3.Cells_EBV-transformed_lymphocytes	0.217874048158183	0.000475919093649494	0.865656	-0.315477
IKZF3.Whole_Blood	-0.112529037157482	0.000299998582307785	0.339089	-0.515892
IKZF4.Skin_Not_Sun_Exposed_Suprapubic	0.15553550863283	0.000253968900635409	0.653413	-0.172044
IL15RA.Skin_Not_Sun_Exposed_Suprapubic	0.136640386726732	0.000311534053394575	0.852947	-0.326518
IL18R1.14079_14	2.31009332828987	0.000854353302972966	4.70055	0.54004
IL18R1.Skin_Not_Sun_Exposed_Suprapubic	-0.050322934181365	0.000570060618032709	0.652284	-0.8563
IL18R1.Skin_Sun_Exposed_Lower_leg	-0.0713788550825652	0.000463208655247886	0.581889	-0.729948
IL18RAP.Skin_Not_Sun_Exposed_Suprapubic	0.104291290705022	0.000286894009636436	0.54591	-0.250731
IL18RAP.Skin_Sun_Exposed_Lower_leg	0.252157701254399	0.000478936190941256	1.0291	-0.416363
IL18RAP.Whole_Blood	-0.881126008929814	0.00117264380128024	1.22003	-3.56482
IL1A.Skin_Not_Sun_Exposed_Suprapubic	0.0936184936312787	0.00059917939344398	0.867449	-0.796982
IL1A.Skin_Sun_Exposed_Lower_leg	0.210562193111118	0.000737591611882387	1.33331	-1.04146
IL1B.Skin_Not_Sun_Exposed_Suprapubic	0.0166434929071636	0.000192613826419741	0.270234	-0.252371
IL1B.Skin_Sun_Exposed_Lower_leg	0.135721102561637	0.000277428453740935	0.525813	-0.25296
IL1R1.2991_9	-0.0316230512578103	0.000300317568718671	0.468788	-0.560102
IL1R1.Cells_EBV-transformed_lymphocytes	-0.070720856219365	0.0003005961265073	0.489536	-0.539952
IL1R2.14133_93	-0.176156157461818	0.000754090422743539	1.02499	-1.56724
IL1RL1.4234_8	-1.36775917953357	0.00143467251420342	1.94204	-4.56076
IL1RL2.2994_71	0.0321691046088974	0.000215720402116818	0.392117	-0.455987
IL1RL2.Cells_Cultured_fibroblasts	-0.0901444023507932	0.00028912060844575	0.322015	-0.882898
IL1RL2.Skin_Not_Sun_Exposed_Suprapubic	0.13414229431202	0.000618315023571627	0.869784	-0.547339
IL1RL2.Skin_Sun_Exposed_Lower_leg	0.332341419805811	0.000613423007132664	1.09035	-0.328673
IL22.2778_10	-0.0251477806551195	3.02679904722297e-05	0.014879	-0.0803042
IL2RA.3151_6	0.00131364960700927	5.67048504160851e-05	0.101253	-0.113932
IL33.Cells_Cultured_fibroblasts	0.125812772096813	0.000509810465306009	1.09114	-0.454845
IL36B.Skin_Not_Sun_Exposed_Suprapubic	0.436092265568783	0.00123042484676375	2.71093	-1.70859
IL36B.Skin_Sun_Exposed_Lower_leg	0.551242701831792	0.00140732021309038	3.13881	-2.20585
IL36G.Skin_Sun_Exposed_Lower_leg	-0.10052736830631	0.000179794607636282	0.236148	-0.52352
IL6R.15602_43	0.395003018999626	0.00223080887065911	4.29703	-3.45069
IL6R.Whole_Blood	0.257225365753946	0.000417727201270522	0.887194	-0.185282
IL7R.5089_11	0.0105326498083974	6.41075151154222e-05	0.108568	-0.101465
IL7R.Cells_Cultured_fibroblasts	0.0953926291980489	0.000434160169118511	0.923747	-0.811561
INO80.Cells_Cultured_fibroblasts	0.0629542446846684	0.000109849535521298	0.218953	-0.0762193
IQCH.Skin_Not_Sun_Exposed_Suprapubic	-0.215046676397651	0.000424024355588215	0.166394	-0.965551
IQCH.Skin_Sun_Exposed_Lower_leg	-0.243908883043776	0.000488166207177099	0.10573	-1.10926
IQGAP1.Cells_Cultured_fibroblasts	0.674062797173634	0.000847139993530761	2.29588	-0.437196
IQGAP1.Skin_Not_Sun_Exposed_Suprapubic	0.947596060818497	0.00146079901462886	4.55661	-1.0028
IQGAP1.Skin_Sun_Exposed_Lower_leg	0.989619259025889	0.00133682924226599	4.00382	-0.530786
IQGAP1.Whole_Blood	0.572053333955528	0.000743070954365451	1.97906	-0.193714
IRF1.Skin_Not_Sun_Exposed_Suprapubic	-0.0067719080916824	0.000178360263113563	0.194065	-0.289584
IRF1.Skin_Sun_Exposed_Lower_leg	0.000351261879438502	0.000137195893791694	0.181925	-0.201006
ITPKA.Whole_Blood	0.123910125703819	0.000225364801845061	0.552494	-0.0537174
JAG2.Skin_Sun_Exposed_Lower_leg	0.0193600401365027	8.264306280022e-05	0.187596	-0.176365
KDM8.Cells_Cultured_fibroblasts	0.0187960649148787	0.000268429803327491	0.30387	-0.330925
KIAA0391.Cells_EBV-transformed_lymphocytes	0.0205252281343597	0.0003200131601768	0.675016	-0.59174
KIAA0391.Skin_Not_Sun_Exposed_Suprapubic	0.211286810802386	0.000662923868834372	1.65429	-1.08435
KIAA0391.Skin_Sun_Exposed_Lower_leg	0.125727866920472	0.000712037283498922	1.47657	-1.18071
KIAA1109.Skin_Not_Sun_Exposed_Suprapubic	-0.00504285384106134	0.000158056502206577	0.459799	-0.27449
KIAA1109.Skin_Sun_Exposed_Lower_leg	-0.0187850087633028	0.000161406534273394	0.229079	-0.315024
KIF3A.Cells_Cultured_fibroblasts	-0.167660653212841	0.000676710171630624	0.412738	-2.04735
KIF3A.Skin_Not_Sun_Exposed_Suprapubic	-0.0722860123033112	0.000302774813803855	0.413721	-0.707969
KIF3A.Skin_Sun_Exposed_Lower_leg	-0.126778655636604	0.000292069660574537	0.0981255	-0.998411
KIF3A.Whole_Blood	-0.152794704312534	0.000233102137505629	0.178535	-0.794064
KYNU.4559_64	-0.12189507620929	0.000549238693187734	0.822676	-1.5316
LAYN.2635_61	-0.0175743727585505	3.67727611482764e-05	0.028896	-0.0815618
LAYN.Cells_Cultured_fibroblasts	0.112868984446526	0.000223302719831187	0.635071	-0.233827
LCE1D.Skin_Not_Sun_Exposed_Suprapubic	-2.01174768950386	0.00137825583268271	-0.215849	-4.11006
LCE1D.Skin_Sun_Exposed_Lower_leg	-1.91860503680258	0.00150775807621369	0.178193	-4.32255
LCE1E.Skin_Not_Sun_Exposed_Suprapubic	-0.86449116833864	0.00109048501126569	0.862711	-2.43243
LIME1.Skin_Not_Sun_Exposed_Suprapubic	0.158726848137592	0.000323762584736995	0.775733	-0.155435
LIME1.Skin_Sun_Exposed_Lower_leg	0.1822184900461	0.000398531030926625	0.747636	-0.370898
LIME1.Whole_Blood	0.0774508576633985	0.000179688748776046	0.495874	-0.183098
LINGO4.Skin_Not_Sun_Exposed_Suprapubic	0.334263212849379	0.000863659961006594	2.92665	-0.888613
